Entity,Code,Year,Signed pledges (GCF) (US$ per year)
Australia,AUS,2018,187000000
Austria,AUT,2018,34800000
Belgium,BEL,2018,66900000.00000001
Bulgaria,BGR,2018,100000
Canada,CAN,2018,277000000
Chile,CHL,2018,300000
Colombia,COL,2018,300000
Cyprus,CYP,2018,470000
Czech Republic,CZE,2018,5320000
Denmark,DNK,2018,71800000
Estonia,EST,2018,1300000
Finland,FIN,2018,107000000
France,FRA,2018,1035000000
Germany,DEU,2018,1003000000
Hungary,HUN,2018,4300000
Iceland,ISL,2018,700000
Indonesia,IDN,2018,250000
Ireland,IRL,2018,2700000
Italy,ITA,2018,268000000
Japan,JPN,2018,1500000000
Latvia,LVA,2018,470000
Liechtenstein,LIE,2018,100000
Lithuania,LTU,2018,100000
Luxembourg,LUX,2018,33400000
Malta,MLT,2018,320000
Mexico,MEX,2018,10000000
Monaco,MCO,2018,1080000
Mongolia,MNG,2018,100000
Netherlands,NLD,2018,134000000
New Zealand,NZL,2018,2560000
Norway,NOR,2018,271000000
Panama,PAN,2018,1000000
Poland,POL,2018,110000
Portugal,PRT,2018,2680000
Romania,ROU,2018,100000
South Korea,KOR,2018,100000000
Spain,ESP,2018,161000000
Sweden,SWE,2018,581000000
Switzerland,CHE,2018,100000000
United Kingdom,GBR,2018,1211000000
United States,USA,2018,3000000000
World,OWID_WRL,2018,10200000000